Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value
CHAMBLFERT,537.5,566.7,537.1,537.85,562,4.49,5212880,2911758382
MAXHEALTH,994.4,1028,986,987.95,1024.1,3.66,2747013,2795497779
SUNTV,574.3,607,574.3,579.7,600.5,3.59,1245059,742192120.5
COROMANDEL,1670.3,1758.9,1610.8,1670.3,1720,2.98,1471523,2421994421
LAURUSLABS,536,552.6,532,536.75,551,2.65,2927066,1599992817
BHARTIARTL,1597,1649.15,1597,1601.3,1638.45,2.32,6286808,10272392800
M&M,2740,2803.95,2728.15,2709.2,2767,2.13,4916248,13657336944
NAUKRI,7128.55,7374.9,7089.6,7151.8,7300,2.07,430736,3141077670
COLPAL,2466.9,2535,2462.15,2476.1,2515.9,1.61,376793,946794146.6
BHEL,191.7,196.41,187.65,191.43,194.2,1.45,18316744,3536047429
BAJFINANCE,8354.95,8526.65,8338.05,8354.95,8472,1.4,1098541,9313342715
ZOMATO,224.2,230.18,223.05,222.69,225.8,1.4,48478366,11022041294
NESTLEIND,2222.45,2256.4,2213.85,2220.4,2250.5,1.36,642834,1444582993
TORNTPOWER,1300.1,1343.55,1286.15,1303.3,1320.2,1.3,952901,1266148146
PAGEIND,41449,42087.95,41162,41163.1,41690.7,1.28,27459,1146845180
GODREJCP,1047.75,1064.4,1041.35,1044.6,1056.45,1.13,1746207,1842946868
HAVELLS,1529.25,1552.65,1510,1522.85,1540,1.13,550271,845177737
KEI,3749.95,3836.9,3740,3741.9,3775,0.88,289870,1099265305
TITAN,3140,3211.5,3136.55,3173,3200.75,0.87,642281,2049878348
ASHOKLEY,222.98,228.39,221.71,223.09,225.01,0.86,9896912,2243926858
